"","Trans","Expected","Observed","Difference"
"108","CLR","26",44,18
"109","CLR","26",61,35
"110","CLR","26",74,48
"111","CLR","26",46,20
"112","CLR","26",48,22
"113","CLR","26",41,15
"114","CLR","26",52,26
"115","CLR","26",46,20
"116","CLR","26",51,25
"117","CLR","26",36,10
"118","CLR","26",77,51
"119","CLR","26",55,29
"120","CLR","26",59,33
"121","CLR","26",58,32
"122","CLR","26",50,24
"123","CLR","26",44,18
"124","CLR","26",116,90
"125","CLR","26",46,20
"126","CLR","26",105,79
"127","CLR","26",99,73
"128","CLR","26",66,40
"129","CLR","26",39,13
"130","CLR","26",62,36
"131","CLR","26",48,22
"132","CLR","26",70,44
"133","CLR","26",41,15
"134","CLR","26",55,29
"135","CLR","26",56,30
"136","CLR","26",44,18
"137","CLR","26",72,46
"138","CLR","26",45,19
"139","CLR","26",49,23
"140","CLR","26",55,29
"141","CLR","26",39,13
"142","CLR","26",41,15
"143","CLR","26",35,9
"144","CLR","26",35,9
"145","CLR","26",29,3
"146","CLR","26",47,21
"147","CLR","26",34,8
"148","CLR","26",58,32
"149","CLR","26",53,27
"150","CLR","26",49,23
"151","CLR","26",71,45
"152","CLR","26",60,34
"153","CLR","26",54,28
"154","CLR","26",35,9
"155","CLR","26",41,15
"156","CLR","26",59,33
"157","CLR","26",44,18
"158","CLR","26",41,15
"159","CLR","26",47,21
"160","CLR","26",39,13
"161","CLR","26",61,35
"162","CLR","26",89,63
"163","CLR","26",32,6
"164","CLR","26",48,22
"165","CLR","26",37,11
"166","CLR","26",40,14
"167","CLR","26",36,10
"168","CLR","26",39,13
"169","CLR","26",49,23
"170","CLR","26",52,26
"171","CLR","26",40,14
"172","CLR","26",64,38
"173","CLR","26",61,35
"174","CLR","26",70,44
"175","CLR","26",43,17
"176","CLR","26",83,57
"177","CLR","26",36,10
"178","CLR","26",76,50
"179","CLR","26",65,39
"180","CLR","26",34,8
"181","CLR","26",50,24
"182","CLR","26",32,6
"183","CLR","26",75,49
"184","CLR","26",55,29
"185","CLR","26",75,49
"186","CLR","26",62,36
"187","CLR","26",98,72
"188","CLR","26",55,29
"189","CLR","26",36,10
"190","CLR","26",31,5
"191","CLR","26",35,9
"192","CLR","26",46,20
"193","CLR","26",32,6
"194","CLR","26",51,25
"195","CLR","26",53,27
"196","CLR","26",54,28
"197","CLR","26",81,55
"198","CLR","26",99,73
"199","CLR","26",60,34
"200","CLR","26",36,10
"201","ALR","129",140,11
"202","ALR","129",142,13
"203","ALR","129",136,7
"204","ALR","129",137,8
"205","ALR","129",145,16
"206","ALR","129",138,9
"207","ALR","129",140,11
"208","ALR","129",133,4
"209","ALR","129",134,5
"210","ALR","129",140,11
"211","ALR","129",139,10
"212","ALR","129",138,9
"213","ALR","129",140,11
"214","ALR","129",139,10
"215","ALR","129",136,7
"216","ALR","129",137,8
"217","ALR","129",138,9
"218","ALR","129",134,5
"219","ALR","129",130,1
"220","ALR","129",136,7
"221","ALR","129",134,5
"222","ALR","129",144,15
"223","ALR","129",138,9
"224","ALR","129",139,10
"225","ALR","129",136,7
"226","ALR","129",138,9
"227","ALR","129",134,5
"228","ALR","129",142,13
"229","ALR","129",134,5
"230","ALR","129",142,13
"231","ALR","129",138,9
"232","ALR","129",142,13
"233","ALR","129",132,3
"234","ALR","129",136,7
"235","ALR","129",136,7
"236","ALR","129",145,16
"237","ALR","129",138,9
"238","ALR","129",142,13
"239","ALR","129",140,11
"240","ALR","129",140,11
"241","ALR","129",138,9
"242","ALR","129",136,7
"243","ALR","129",137,8
"244","ALR","129",140,11
"245","ALR","129",140,11
"246","ALR","129",142,13
"247","ALR","129",137,8
"248","ALR","129",139,10
"249","ALR","129",133,4
"250","ALR","129",135,6
"251","ALR","129",139,10
"252","ALR","129",142,13
"253","ALR","129",141,12
"254","ALR","129",140,11
"255","ALR","129",141,12
"256","ALR","129",143,14
"257","ALR","129",141,12
"258","ALR","129",136,7
"259","ALR","129",140,11
"260","ALR","129",139,10
"261","ALR","129",137,8
"262","ALR","129",137,8
"263","ALR","129",142,13
"264","ALR","129",135,6
"265","ALR","129",144,15
"266","ALR","129",137,8
"267","ALR","129",141,12
"268","ALR","129",139,10
"269","ALR","129",136,7
"270","ALR","129",141,12
"271","ALR","129",137,8
"272","ALR","129",138,9
"273","ALR","129",150,21
"274","ALR","129",146,17
"275","ALR","129",139,10
"276","ALR","129",140,11
"277","ALR","129",138,9
"278","ALR","129",133,4
"279","ALR","129",141,12
"280","ALR","129",140,11
"281","ALR","129",144,15
"282","ALR","129",139,10
"283","ALR","129",139,10
"284","ALR","129",141,12
"285","ALR","129",139,10
"286","ALR","129",134,5
"287","ALR","129",141,12
"288","ALR","129",140,11
"289","ALR","129",142,13
"290","ALR","129",134,5
"291","ALR","129",141,12
"292","ALR","129",139,10
"293","ALR","129",143,14
"294","ALR","129",139,10
"295","ALR","129",136,7
"296","ALR","129",138,9
"297","ALR","129",134,5
"298","ALR","129",131,2
"299","ALR","129",142,13
"300","ALR","129",133,4
"301","CLR","129",1611,1482
"302","CLR","129",1192,1063
"303","CLR","129",985,856
"304","CLR","129",947,818
"305","CLR","129",1260,1131
"306","CLR","129",1199,1070
"307","CLR","129",1112,983
"308","CLR","129",1338,1209
"309","CLR","129",1196,1067
"310","CLR","129",878,749
"311","CLR","129",906,777
"312","CLR","129",944,815
"313","CLR","129",1272,1143
"314","CLR","129",909,780
"315","CLR","129",1509,1380
"316","CLR","129",1408,1279
"317","CLR","129",1225,1096
"318","CLR","129",1208,1079
"319","CLR","129",1075,946
"320","CLR","129",1522,1393
"321","CLR","129",902,773
"322","CLR","129",1156,1027
"323","CLR","129",1557,1428
"324","CLR","129",1052,923
"325","CLR","129",1537,1408
"326","CLR","129",1119,990
"327","CLR","129",985,856
"328","CLR","129",823,694
"329","CLR","129",1221,1092
"330","CLR","129",739,610
"331","CLR","129",1190,1061
"332","CLR","129",1135,1006
"333","CLR","129",1318,1189
"334","CLR","129",1281,1152
"335","CLR","129",887,758
"336","CLR","129",1460,1331
"337","CLR","129",1409,1280
"338","CLR","129",1383,1254
"339","CLR","129",1088,959
"340","CLR","129",1074,945
"341","CLR","129",1229,1100
"342","CLR","129",998,869
"343","CLR","129",1136,1007
"344","CLR","129",940,811
"345","CLR","129",1641,1512
"346","CLR","129",1495,1366
"347","CLR","129",1637,1508
"348","CLR","129",1172,1043
"349","CLR","129",1237,1108
"350","CLR","129",1411,1282
"351","CLR","129",1245,1116
"352","CLR","129",1170,1041
"353","CLR","129",913,784
"354","CLR","129",1404,1275
"355","CLR","129",1164,1035
"356","CLR","129",1470,1341
"357","CLR","129",824,695
"358","CLR","129",1090,961
"359","CLR","129",1671,1542
"360","CLR","129",1158,1029
"361","CLR","129",1241,1112
"362","CLR","129",1128,999
"363","CLR","129",888,759
"364","CLR","129",1218,1089
"365","CLR","129",1161,1032
"366","CLR","129",1355,1226
"367","CLR","129",1280,1151
"368","CLR","129",1591,1462
"369","CLR","129",1140,1011
"370","CLR","129",1494,1365
"371","CLR","129",1085,956
"372","CLR","129",774,645
"373","CLR","129",1210,1081
"374","CLR","129",965,836
"375","CLR","129",1125,996
"376","CLR","129",1497,1368
"377","CLR","129",1318,1189
"378","CLR","129",1222,1093
"379","CLR","129",1114,985
"380","CLR","129",1019,890
"381","CLR","129",1246,1117
"382","CLR","129",1103,974
"383","CLR","129",904,775
"384","CLR","129",896,767
"385","CLR","129",889,760
"386","CLR","129",1580,1451
"387","CLR","129",1085,956
"388","CLR","129",1221,1092
"389","CLR","129",1412,1283
"390","CLR","129",1503,1374
"391","CLR","129",1206,1077
"392","CLR","129",1577,1448
"393","CLR","129",1471,1342
"394","CLR","129",1353,1224
"395","CLR","129",1272,1143
"396","CLR","129",1014,885
"397","CLR","129",1468,1339
"398","CLR","129",1220,1091
"399","CLR","129",1361,1232
"400","CLR","129",918,789
"401","ALR","386",422,36
"402","ALR","386",420,34
"403","ALR","386",403,17
"404","ALR","386",406,20
"405","ALR","386",407,21
"406","ALR","386",415,29
"407","ALR","386",407,21
"408","ALR","386",417,31
"409","ALR","386",407,21
"410","ALR","386",404,18
"411","ALR","386",404,18
"412","ALR","386",403,17
"413","ALR","386",410,24
"414","ALR","386",416,30
"415","ALR","386",409,23
"416","ALR","386",403,17
"417","ALR","386",408,22
"418","ALR","386",415,29
"419","ALR","386",422,36
"420","ALR","386",402,16
"421","ALR","386",416,30
"422","ALR","386",413,27
"423","ALR","386",423,37
"424","ALR","386",410,24
"425","ALR","386",406,20
"426","ALR","386",407,21
"427","ALR","386",404,18
"428","ALR","386",411,25
"429","ALR","386",412,26
"430","ALR","386",421,35
"431","ALR","386",414,28
"432","ALR","386",426,40
"433","ALR","386",408,22
"434","ALR","386",425,39
"435","ALR","386",413,27
"436","ALR","386",420,34
"437","ALR","386",404,18
"438","ALR","386",414,28
"439","ALR","386",403,17
"440","ALR","386",405,19
"441","ALR","386",405,19
"442","ALR","386",411,25
"443","ALR","386",401,15
"444","ALR","386",412,26
"445","ALR","386",411,25
"446","ALR","386",411,25
"447","ALR","386",413,27
"448","ALR","386",407,21
"449","ALR","386",401,15
"450","ALR","386",409,23
"451","ALR","386",415,29
"452","ALR","386",407,21
"453","ALR","386",411,25
"454","ALR","386",420,34
"455","ALR","386",402,16
"456","ALR","386",402,16
"457","ALR","386",406,20
"458","ALR","386",399,13
"459","ALR","386",407,21
"460","ALR","386",407,21
"461","ALR","386",417,31
"462","ALR","386",409,23
"463","ALR","386",409,23
"464","ALR","386",403,17
"465","ALR","386",423,37
"466","ALR","386",408,22
"467","ALR","386",397,11
"468","ALR","386",416,30
"469","ALR","386",403,17
"470","ALR","386",401,15
"471","ALR","386",410,24
"472","ALR","386",412,26
"473","ALR","386",405,19
"474","ALR","386",410,24
"475","ALR","386",410,24
"476","ALR","386",409,23
"477","ALR","386",402,16
"478","ALR","386",412,26
"479","ALR","386",408,22
"480","ALR","386",409,23
"481","ALR","386",420,34
"482","ALR","386",409,23
"483","ALR","386",414,28
"484","ALR","386",403,17
"485","ALR","386",409,23
"486","ALR","386",415,29
"487","ALR","386",414,28
"488","ALR","386",407,21
"489","ALR","386",411,25
"490","ALR","386",409,23
"491","ALR","386",401,15
"492","ALR","386",410,24
"493","ALR","386",409,23
"494","ALR","386",413,27
"495","ALR","386",402,16
"496","ALR","386",410,24
"497","ALR","386",401,15
"498","ALR","386",409,23
"499","ALR","386",411,25
"500","ALR","386",403,17
"501","CLR","386",2273,1887
"502","CLR","386",2414,2028
"503","CLR","386",2483,2097
"504","CLR","386",2459,2073
"505","CLR","386",2385,1999
"506","CLR","386",2387,2001
"507","CLR","386",2437,2051
"508","CLR","386",2343,1957
"509","CLR","386",2472,2086
"510","CLR","386",2450,2064
"511","CLR","386",2395,2009
"512","CLR","386",2389,2003
"513","CLR","386",2434,2048
"514","CLR","386",2440,2054
"515","CLR","386",2479,2093
"516","CLR","386",2486,2100
"517","CLR","386",2386,2000
"518","CLR","386",2399,2013
"519","CLR","386",2410,2024
"520","CLR","386",2369,1983
"521","CLR","386",2372,1986
"522","CLR","386",2338,1952
"523","CLR","386",2456,2070
"524","CLR","386",2422,2036
"525","CLR","386",2416,2030
"526","CLR","386",2430,2044
"527","CLR","386",2474,2088
"528","CLR","386",2486,2100
"529","CLR","386",2412,2026
"530","CLR","386",2259,1873
"531","CLR","386",2445,2059
"532","CLR","386",2407,2021
"533","CLR","386",2365,1979
"534","CLR","386",2413,2027
"535","CLR","386",2446,2060
"536","CLR","386",2419,2033
"537","CLR","386",2454,2068
"538","CLR","386",2403,2017
"539","CLR","386",2472,2086
"540","CLR","386",2377,1991
"541","CLR","386",2466,2080
"542","CLR","386",2465,2079
"543","CLR","386",2301,1915
"544","CLR","386",2299,1913
"545","CLR","386",2431,2045
"546","CLR","386",2279,1893
"547","CLR","386",2435,2049
"548","CLR","386",2457,2071
"549","CLR","386",2456,2070
"550","CLR","386",2339,1953
"551","CLR","386",2337,1951
"552","CLR","386",2423,2037
"553","CLR","386",2334,1948
"554","CLR","386",2451,2065
"555","CLR","386",2461,2075
"556","CLR","386",2282,1896
"557","CLR","386",2453,2067
"558","CLR","386",2399,2013
"559","CLR","386",2224,1838
"560","CLR","386",2471,2085
"561","CLR","386",2438,2052
"562","CLR","386",2376,1990
"563","CLR","386",2475,2089
"564","CLR","386",2482,2096
"565","CLR","386",2280,1894
"566","CLR","386",2374,1988
"567","CLR","386",2465,2079
"568","CLR","386",2338,1952
"569","CLR","386",2228,1842
"570","CLR","386",2460,2074
"571","CLR","386",2318,1932
"572","CLR","386",2471,2085
"573","CLR","386",2452,2066
"574","CLR","386",2354,1968
"575","CLR","386",2459,2073
"576","CLR","386",2355,1969
"577","CLR","386",2420,2034
"578","CLR","386",2195,1809
"579","CLR","386",2435,2049
"580","CLR","386",2461,2075
"581","CLR","386",2462,2076
"582","CLR","386",2444,2058
"583","CLR","386",2381,1995
"584","CLR","386",2403,2017
"585","CLR","386",2296,1910
"586","CLR","386",2431,2045
"587","CLR","386",2461,2075
"588","CLR","386",2371,1985
"589","CLR","386",2472,2086
"590","CLR","386",2461,2075
"591","CLR","386",2465,2079
"592","CLR","386",2382,1996
"593","CLR","386",2459,2073
"594","CLR","386",2284,1898
"595","CLR","386",2424,2038
"596","CLR","386",2289,1903
"597","CLR","386",2361,1975
"598","CLR","386",2429,2043
"599","CLR","386",2426,2040
"600","CLR","386",2466,2080
"601","ALR","642",675,33
"602","ALR","642",682,40
"603","ALR","642",689,47
"604","ALR","642",683,41
"605","ALR","642",672,30
"606","ALR","642",668,26
"607","ALR","642",711,69
"608","ALR","642",671,29
"609","ALR","642",678,36
"610","ALR","642",678,36
"611","ALR","642",671,29
"612","ALR","642",684,42
"613","ALR","642",673,31
"614","ALR","642",674,32
"615","ALR","642",686,44
"616","ALR","642",670,28
"617","ALR","642",685,43
"618","ALR","642",675,33
"619","ALR","642",683,41
"620","ALR","642",679,37
"621","ALR","642",678,36
"622","ALR","642",661,19
"623","ALR","642",663,21
"624","ALR","642",673,31
"625","ALR","642",671,29
"626","ALR","642",672,30
"627","ALR","642",670,28
"628","ALR","642",666,24
"629","ALR","642",665,23
"630","ALR","642",687,45
"631","ALR","642",675,33
"632","ALR","642",668,26
"633","ALR","642",670,28
"634","ALR","642",670,28
"635","ALR","642",675,33
"636","ALR","642",682,40
"637","ALR","642",697,55
"638","ALR","642",675,33
"639","ALR","642",669,27
"640","ALR","642",682,40
"641","ALR","642",678,36
"642","ALR","642",678,36
"643","ALR","642",674,32
"644","ALR","642",676,34
"645","ALR","642",663,21
"646","ALR","642",679,37
"647","ALR","642",667,25
"648","ALR","642",685,43
"649","ALR","642",675,33
"650","ALR","642",685,43
"651","ALR","642",674,32
"652","ALR","642",667,25
"653","ALR","642",669,27
"654","ALR","642",680,38
"655","ALR","642",681,39
"656","ALR","642",666,24
"657","ALR","642",668,26
"658","ALR","642",682,40
"659","ALR","642",675,33
"660","ALR","642",674,32
"661","ALR","642",664,22
"662","ALR","642",693,51
"663","ALR","642",665,23
"664","ALR","642",681,39
"665","ALR","642",671,29
"666","ALR","642",676,34
"667","ALR","642",664,22
"668","ALR","642",684,42
"669","ALR","642",683,41
"670","ALR","642",679,37
"671","ALR","642",674,32
"672","ALR","642",680,38
"673","ALR","642",675,33
"674","ALR","642",676,34
"675","ALR","642",664,22
"676","ALR","642",668,26
"677","ALR","642",679,37
"678","ALR","642",689,47
"679","ALR","642",675,33
"680","ALR","642",674,32
"681","ALR","642",682,40
"682","ALR","642",674,32
"683","ALR","642",680,38
"684","ALR","642",673,31
"685","ALR","642",673,31
"686","ALR","642",677,35
"687","ALR","642",670,28
"688","ALR","642",677,35
"689","ALR","642",675,33
"690","ALR","642",682,40
"691","ALR","642",671,29
"692","ALR","642",670,28
"693","ALR","642",679,37
"694","ALR","642",659,17
"695","ALR","642",669,27
"696","ALR","642",668,26
"697","ALR","642",669,27
"698","ALR","642",686,44
"699","ALR","642",675,33
"700","ALR","642",674,32
"701","CLR","642",2473,1831
"702","CLR","642",2504,1862
"703","CLR","642",2485,1843
"704","CLR","642",2497,1855
"705","CLR","642",2513,1871
"706","CLR","642",2506,1864
"707","CLR","642",2475,1833
"708","CLR","642",2496,1854
"709","CLR","642",2513,1871
"710","CLR","642",2521,1879
"711","CLR","642",2504,1862
"712","CLR","642",2499,1857
"713","CLR","642",2507,1865
"714","CLR","642",2507,1865
"715","CLR","642",2521,1879
"716","CLR","642",2487,1845
"717","CLR","642",2458,1816
"718","CLR","642",2452,1810
"719","CLR","642",2516,1874
"720","CLR","642",2505,1863
"721","CLR","642",2510,1868
"722","CLR","642",2474,1832
"723","CLR","642",2505,1863
"724","CLR","642",2484,1842
"725","CLR","642",2466,1824
"726","CLR","642",2516,1874
"727","CLR","642",2501,1859
"728","CLR","642",2510,1868
"729","CLR","642",2507,1865
"730","CLR","642",2490,1848
"731","CLR","642",2523,1881
"732","CLR","642",2478,1836
"733","CLR","642",2509,1867
"734","CLR","642",2466,1824
"735","CLR","642",2480,1838
"736","CLR","642",2505,1863
"737","CLR","642",2491,1849
"738","CLR","642",2501,1859
"739","CLR","642",2511,1869
"740","CLR","642",2480,1838
"741","CLR","642",2498,1856
"742","CLR","642",2504,1862
"743","CLR","642",2508,1866
"744","CLR","642",2450,1808
"745","CLR","642",2499,1857
"746","CLR","642",2445,1803
"747","CLR","642",2497,1855
"748","CLR","642",2463,1821
"749","CLR","642",2467,1825
"750","CLR","642",2508,1866
"751","CLR","642",2509,1867
"752","CLR","642",2493,1851
"753","CLR","642",2497,1855
"754","CLR","642",2446,1804
"755","CLR","642",2496,1854
"756","CLR","642",2521,1879
"757","CLR","642",2506,1864
"758","CLR","642",2484,1842
"759","CLR","642",2513,1871
"760","CLR","642",2522,1880
"761","CLR","642",2517,1875
"762","CLR","642",2496,1854
"763","CLR","642",2493,1851
"764","CLR","642",2473,1831
"765","CLR","642",2513,1871
"766","CLR","642",2514,1872
"767","CLR","642",2481,1839
"768","CLR","642",2475,1833
"769","CLR","642",2525,1883
"770","CLR","642",2498,1856
"771","CLR","642",2502,1860
"772","CLR","642",2517,1875
"773","CLR","642",2508,1866
"774","CLR","642",2481,1839
"775","CLR","642",2511,1869
"776","CLR","642",2510,1868
"777","CLR","642",2503,1861
"778","CLR","642",2496,1854
"779","CLR","642",2442,1800
"780","CLR","642",2523,1881
"781","CLR","642",2482,1840
"782","CLR","642",2493,1851
"783","CLR","642",2495,1853
"784","CLR","642",2514,1872
"785","CLR","642",2496,1854
"786","CLR","642",2506,1864
"787","CLR","642",2501,1859
"788","CLR","642",2514,1872
"789","CLR","642",2492,1850
"790","CLR","642",2511,1869
"791","CLR","642",2513,1871
"792","CLR","642",2515,1873
"793","CLR","642",2513,1871
"794","CLR","642",2508,1866
"795","CLR","642",2468,1826
"796","CLR","642",2492,1850
"797","CLR","642",2497,1855
"798","CLR","642",2519,1877
"799","CLR","642",2483,1841
"800","CLR","642",2518,1876
